epoch,train_loss,val_loss,val_acc,lr
1,0.9399,1.0041,0.5767,0.00010000
2,0.7535,0.6979,0.7100,0.00010000
3,0.6768,0.6420,0.7000,0.00010000
4,0.5639,0.7508,0.6700,0.00010000
5,0.5224,0.6967,0.6933,0.00010000
6,0.4600,0.6744,0.7633,0.00010000
7,0.4201,0.4782,0.8100,0.00010000
8,0.4039,0.5035,0.7700,0.00010000
9,0.3397,0.9443,0.7167,0.00010000
10,0.3457,0.4551,0.8033,0.00010000
11,0.2977,0.5871,0.8133,0.00010000
12,0.2868,0.5056,0.8100,0.00010000
13,0.2342,0.4405,0.8533,0.00010000
14,0.2251,0.3211,0.8933,0.00010000
15,0.2117,0.3904,0.8567,0.00010000
16,0.1708,0.5448,0.8300,0.00010000
17,0.1890,0.5756,0.7967,0.00010000
18,0.1627,0.4430,0.8633,0.00010000
19,0.1599,0.6568,0.8300,0.00010000
20,0.1723,0.4464,0.8633,0.00010000
21,0.1577,0.3882,0.8667,0.00010000
22,0.1452,0.4851,0.8533,0.00010000
23,0.1530,0.4276,0.8733,0.00010000
24,0.1265,0.3679,0.8767,0.00010000
25,0.1056,0.5817,0.8733,0.00010000
26,0.1488,0.4212,0.8900,0.00010000
27,0.1276,0.5051,0.8667,0.00010000
28,0.1031,0.3853,0.8900,0.00010000
29,0.1059,0.3883,0.8767,0.00010000
