epoch,train_loss,val_loss,val_acc,lr
1,0.8639,0.8772,0.6833,0.01000000
2,0.8044,0.9859,0.6133,0.01000000
3,0.6805,1.0463,0.6400,0.01000000
4,0.6079,0.7013,0.6867,0.01000000
5,0.4990,0.8266,0.6767,0.01000000
6,0.4876,0.4339,0.8300,0.01000000
7,0.4145,0.5599,0.7967,0.01000000
8,0.3906,0.4090,0.8667,0.01000000
9,0.4221,0.6527,0.7467,0.01000000
10,0.3346,0.4103,0.8500,0.01000000
11,0.3569,0.4240,0.8500,0.01000000
12,0.2742,0.4340,0.8500,0.01000000
13,0.2879,0.4436,0.8533,0.01000000
14,0.2695,0.5088,0.8267,0.01000000
15,0.2801,0.3491,0.8733,0.01000000
16,0.2128,0.5797,0.8233,0.01000000
17,0.2044,0.4672,0.8500,0.01000000
18,0.2389,0.5482,0.8467,0.01000000
19,0.2001,0.4560,0.8533,0.01000000
20,0.1613,0.2923,0.9033,0.01000000
21,0.1765,0.3869,0.8733,0.01000000
22,0.1676,0.5509,0.8367,0.01000000
23,0.2225,0.3269,0.8933,0.01000000
24,0.1619,0.3346,0.8967,0.01000000
25,0.1979,0.4410,0.8567,0.01000000
26,0.1431,0.4408,0.8633,0.01000000
27,0.1266,0.5541,0.8533,0.01000000
28,0.1243,0.4700,0.8667,0.01000000
29,0.1207,0.3983,0.8967,0.01000000
30,0.1017,0.4149,0.8900,0.01000000
31,0.1230,0.3079,0.8867,0.01000000
32,0.1364,0.5112,0.8633,0.01000000
33,0.1186,0.3958,0.8867,0.01000000
34,0.0679,0.4556,0.8967,0.01000000
35,0.0752,1.0886,0.7833,0.01000000
