epoch,train_loss,val_loss,val_acc,lr
1,0.9122,1.1553,0.4767,0.00010000
2,0.8077,0.6660,0.7033,0.00010000
3,0.7216,0.4937,0.8100,0.00010000
4,0.5483,0.5439,0.7800,0.00010000
5,0.4492,0.7165,0.7633,0.00010000
6,0.4347,0.5764,0.7833,0.00010000
7,0.4202,0.7127,0.7633,0.00010000
8,0.4367,0.4691,0.8333,0.00010000
9,0.3580,0.4380,0.8400,0.00010000
10,0.3255,0.3750,0.8667,0.00010000
11,0.3600,0.6888,0.7900,0.00010000
12,0.2951,0.5416,0.8200,0.00010000
13,0.2483,0.3449,0.8633,0.00010000
14,0.2294,0.3907,0.8733,0.00010000
15,0.2171,0.3754,0.8767,0.00010000
16,0.1883,0.3700,0.8933,0.00005000
17,0.1455,0.3269,0.8867,0.00005000
18,0.1116,0.4157,0.8900,0.00005000
19,0.1021,0.4518,0.8767,0.00005000
20,0.1161,0.3122,0.8967,0.00005000
21,0.1054,0.6826,0.8133,0.00005000
22,0.1361,0.2643,0.9033,0.00005000
23,0.0688,0.3534,0.9033,0.00005000
24,0.1013,0.4340,0.8667,0.00005000
25,0.1051,0.5006,0.8967,0.00005000
26,0.1327,0.4028,0.8833,0.00005000
27,0.1052,0.4083,0.8867,0.00005000
28,0.0950,0.5013,0.8600,0.00005000
29,0.0633,0.3822,0.8967,0.00005000
30,0.0661,0.5184,0.8500,0.00005000
31,0.0478,0.3884,0.9033,0.00002500
32,0.0216,0.4565,0.9033,0.00002500
33,0.0390,0.4603,0.8867,0.00002500
34,0.0237,0.3774,0.9100,0.00002500
35,0.0289,0.3860,0.8967,0.00002500
36,0.0291,0.4030,0.9000,0.00002500
37,0.0343,0.5706,0.8700,0.00002500
38,0.0161,0.4718,0.9000,0.00002500
39,0.0180,0.4444,0.9000,0.00002500
40,0.0242,0.5372,0.8833,0.00002500
41,0.0380,0.4098,0.9000,0.00002500
42,0.0498,0.4507,0.9000,0.00002500
43,0.0146,0.4555,0.8933,0.00002500
44,0.0268,0.4600,0.8933,0.00002500
45,0.0280,0.5112,0.8867,0.00002500
46,0.0159,0.4816,0.8900,0.00001250
47,0.0103,0.5281,0.8833,0.00001250
48,0.0144,0.4689,0.9000,0.00001250
49,0.0094,0.3932,0.9100,0.00001250
