epoch,train_loss,val_loss,val_acc,lr
1,1.0789,2.7413,0.5367,0.01000000
2,1.1627,0.7915,0.6733,0.01000000
3,0.8281,0.7607,0.6700,0.01000000
4,0.7728,0.8811,0.6800,0.01000000
5,0.7200,0.6673,0.7100,0.01000000
6,0.6708,0.8929,0.6367,0.01000000
7,0.6580,2.3070,0.4567,0.01000000
8,0.6618,0.5405,0.7900,0.01000000
9,0.5972,0.6450,0.7800,0.01000000
10,0.6059,0.4874,0.8233,0.01000000
11,0.5589,0.6244,0.7300,0.01000000
12,0.4760,0.4618,0.8033,0.01000000
13,0.4661,0.6992,0.7500,0.01000000
14,0.3907,0.5624,0.8200,0.01000000
15,0.4046,0.5357,0.7800,0.01000000
16,0.3048,0.3670,0.8767,0.00500000
17,0.2893,0.4314,0.8467,0.00500000
18,0.2678,0.4098,0.8667,0.00500000
19,0.2301,0.5482,0.8167,0.00500000
20,0.2419,0.4602,0.8467,0.00500000
21,0.2121,0.4254,0.8633,0.00500000
22,0.2454,0.8173,0.7633,0.00500000
23,0.2097,0.4507,0.8633,0.00500000
24,0.2312,0.3479,0.8733,0.00500000
25,0.2409,0.3433,0.8767,0.00500000
26,0.1797,0.5418,0.8633,0.00500000
27,0.1927,0.4233,0.8700,0.00500000
28,0.1823,0.3637,0.8800,0.00500000
29,0.1574,0.6153,0.8400,0.00500000
30,0.1434,0.4031,0.8567,0.00500000
31,0.0866,0.4728,0.8533,0.00250000
32,0.0854,0.5712,0.8633,0.00250000
33,0.1080,0.5446,0.8500,0.00250000
34,0.1052,0.4473,0.8667,0.00250000
35,0.0813,0.3942,0.8833,0.00250000
36,0.0670,0.4794,0.8833,0.00250000
37,0.0652,0.4366,0.8967,0.00250000
38,0.0633,0.4854,0.8800,0.00250000
39,0.0563,0.5640,0.8567,0.00250000
40,0.0740,0.4167,0.9033,0.00250000
41,0.0574,0.5099,0.8700,0.00250000
42,0.0499,0.4564,0.9033,0.00250000
43,0.0365,0.4819,0.8867,0.00250000
44,0.0618,0.6564,0.8667,0.00250000
45,0.0587,0.5733,0.8767,0.00250000
46,0.0400,0.4631,0.8833,0.00125000
47,0.0427,0.4400,0.8867,0.00125000
48,0.0301,0.4044,0.9133,0.00125000
49,0.0277,0.4369,0.9033,0.00125000
50,0.0425,0.4911,0.8833,0.00125000
51,0.0312,0.4780,0.9000,0.00125000
52,0.0199,0.4250,0.9067,0.00125000
53,0.0138,0.4496,0.9067,0.00125000
54,0.0399,0.4653,0.8867,0.00125000
55,0.0160,0.4698,0.8900,0.00125000
56,0.0356,0.5010,0.9033,0.00125000
57,0.0379,0.5625,0.8767,0.00125000
58,0.0297,0.4172,0.9033,0.00125000
59,0.0170,0.4766,0.8867,0.00125000
60,0.0297,0.4591,0.8833,0.00125000
61,0.0177,0.4711,0.8967,0.00062500
62,0.0140,0.4868,0.8933,0.00062500
63,0.0131,0.5130,0.8900,0.00062500
