epoch,train_loss,val_loss,val_acc
1,0.8207,1.4670636622111002,0.3467
2,0.5569,0.9003324627876281,0.6233
3,0.3680,0.5054538385073344,0.7933
4,0.3219,0.623772984345754,0.8067
5,0.1762,0.6789719462394714,0.7867
6,0.1693,0.8203707822163899,0.7600
7,0.0967,0.6072472906112671,0.8500
8,0.0751,0.7849775727589925,0.7433
9,0.1113,0.5441411407788594,0.8633
10,0.0768,0.6110573784510295,0.8533
11,0.0893,0.6788695128758748,0.8433
12,0.0947,0.4553672981262207,0.8500
13,0.0258,0.8448926432927449,0.8500
14,0.0169,0.557216248512268,0.8600
15,0.0269,0.9250413910547892,0.8067
16,0.0296,0.8144031635920207,0.8400
17,0.0591,0.6888548723856608,0.8167
18,0.0198,0.6497942845026652,0.8333
19,0.0161,0.9123957347869873,0.7900
20,0.0622,0.7545853368441264,0.8100
21,0.0302,0.6365023740132649,0.8733
22,0.0211,0.6543482621510823,0.8567
23,0.0437,0.5494806512196859,0.8533
24,0.0461,0.5853424072265625,0.8267
25,0.0184,0.4854136768976847,0.8633
26,0.0092,0.5802618487675985,0.8800
27,0.0055,0.6357193326950074,0.8867
28,0.0011,0.5393683695793152,0.8900
29,0.0003,0.5571080708503723,0.8867
30,0.0001,0.5735722986857096,0.8833
31,0.0000,0.564807284673055,0.8767
32,0.0001,0.5670949323972067,0.9000
33,0.0000,0.5650875155131022,0.9000
34,0.0000,0.5870745205879211,0.8900
35,0.0000,0.5808132322629292,0.8900
36,0.0000,0.5968735074996948,0.8833
37,0.0001,0.6062688096364339,0.8900
38,0.0001,0.610010560353597,0.8767
39,0.0000,0.6103467480341593,0.8800
40,0.0000,0.6250882927576701,0.8833
41,0.0000,0.6206866041819254,0.8800
42,0.0000,0.6340212043126424,0.8800
43,0.0000,0.6488844648996989,0.8767
44,0.0000,0.6419973834355672,0.8767
45,0.0000,0.650347269376119,0.8767
46,0.0000,0.6426337639490763,0.8800
47,0.0000,0.6622575235366821,0.8833
48,0.0000,0.6685513925552368,0.8833
49,0.0000,0.6798516543706258,0.8867
50,0.0000,0.67664488474528,0.8833
51,0.0000,0.6824228572845459,0.8833
52,0.0000,0.68009969552358,0.8867
53,0.0000,0.6818175649642945,0.8867
54,0.0000,0.673893059094747,0.8833
55,0.0000,0.7063625971476237,0.8867
56,0.0000,0.7020137898127238,0.8867
57,0.0000,0.719077361424764,0.8867
58,0.0000,0.7294063711166382,0.8900
59,0.0000,0.7241162316004435,0.8900
60,0.0000,0.7407035716374715,0.8900
